 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.428991824    
 # Filling Error:   4.41116141E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       9.30421083E-05   1.05668533    
  -11.9600000       9.82169004E-05   1.05902612    
  -11.9200001       1.00110388E-04   1.07506752    
  -11.8800001       1.04741594E-04   1.06221068    
  -11.8400002       1.04982893E-04   1.06618714    
  -11.8000002       1.08518179E-04   1.06121373    
  -11.7600002       1.12515976E-04   1.06569910    
  -11.7200003       1.16538853E-04   1.06515908    
  -11.6800003       1.20913377E-04   1.05964744    
  -11.6400003       1.25544757E-04   1.06061661    
  -11.6000004       1.28889238E-04   1.04269743    
  -11.5600004       1.33955589E-04   1.04919541    
  -11.5200005       1.38848758E-04   1.05541515    
  -11.4800005       1.41492943E-04   1.05200458    
  -11.4400005       1.47681974E-04   1.04032290    
  -11.4000006       1.53454253E-04   1.03753006    
  -11.3600006       1.57963892E-04   1.03959453    
  -11.3200006       1.63550343E-04   1.04238653    
  -11.2800007       1.69502164E-04   1.04451954    
  -11.2400007       1.72711298E-04   1.04095709    
  -11.2000008       1.80195013E-04   1.04154384    
  -11.1600008       1.83901764E-04   1.03480041    
  -11.1200008       1.90565930E-04   1.04177666    
  -11.0800009       1.96429333E-04   1.03790748    
  -11.0400009       2.04545504E-04   1.04058611    
  -11.0000010       2.13244071E-04   1.03278196    
  -10.9600010       2.19387221E-04   1.03137505    
  -10.9200010       2.27995639E-04   1.03133225    
  -10.8800011       2.32279839E-04   1.03099418    
  -10.8400011       2.41638467E-04   1.03149796    
  -10.8000011       2.51902849E-04   1.02575660    
  -10.7600012       2.59210035E-04   1.03363371    
  -10.7200012       2.69659882E-04   1.02396810    
  -10.6800013       2.76343722E-04   1.03080213    
  -10.6400013       2.86231574E-04   1.02781498    
  -10.6000013       2.96372338E-04   1.02240312    
