 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.374161333    
 # Filling Error:   4.33285721E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       4.54815709E-05   1.07516146    
  -11.9600000       4.78503971E-05   1.09841037    
  -11.9200001       4.89889171E-05   1.08423460    
  -11.8800001       5.14757012E-05   1.07004189    
  -11.8400002       5.26813237E-05   1.08551514    
  -11.8000002       5.47104792E-05   1.07562602    
  -11.7600002       5.56413906E-05   1.07886529    
  -11.7200003       5.95345919E-05   1.07748115    
  -11.6800003       6.06693102E-05   1.07253420    
  -11.6400003       6.30290742E-05   1.05504692    
  -11.6000004       6.64711188E-05   1.08447182    
  -11.5600004       6.78784490E-05   1.07408845    
  -11.5200005       7.00332457E-05   1.06324887    
  -11.4800005       7.27564184E-05   1.06612337    
  -11.4400005       7.66939411E-05   1.06455934    
  -11.4000006       7.88670586E-05   1.06152904    
  -11.3600006       8.09421908E-05   1.06637359    
  -11.3200006       8.39290224E-05   1.06270671    
  -11.2800007       8.70562435E-05   1.05479074    
  -11.2400007       9.03688124E-05   1.05468488    
  -11.2000008       9.17893994E-05   1.04990923    
  -11.1600008       9.63088532E-05   1.06433249    
  -11.1200008       1.00174570E-04   1.05114925    
  -11.0800009       1.01100050E-04   1.04741967    
  -11.0400009       1.06710446E-04   1.05004251    
  -11.0000010       1.09563996E-04   1.04800320    
  -10.9600010       1.12952126E-04   1.03775787    
  -10.9200010       1.18141885E-04   1.03523409    
  -10.8800011       1.20074139E-04   1.04544842    
  -10.8400011       1.26354746E-04   1.03330934    
  -10.8000011       1.29732463E-04   1.04737997    
  -10.7600012       1.32858913E-04   1.04098368    
  -10.7200012       1.38590971E-04   1.03467286    
  -10.6800013       1.46776089E-04   1.03344131    
  -10.6400013       1.48592764E-04   1.04261303    
  -10.6000013       1.53421104E-04   1.04576254    
  -10.5600014       1.58683761E-04   1.04267395    
  -10.5200014       1.64370300E-04   1.03415906    
  -10.4800014       1.70555883E-04   1.02848279    
  -10.4400015       1.78917588E-04   1.03000975    
  -10.4000015       1.86091696E-04   1.03258455    
  -10.3600016       1.88662656E-04   1.02845895    
  -10.3200016       1.95948858E-04   1.02670407    
  -10.2800016       2.01431496E-04   1.02518344    
  -10.2400017       2.11223422E-04   1.02246678    
  -10.2000017       2.19172944E-04   1.02637172    
  -10.1600018       2.26618955E-04   1.02256703    
  -10.1200018       2.33078623E-04   1.02386534    
  -10.0800018       2.42767259E-04   1.02138865    
  -10.0400019       2.48686498E-04   1.02251971    
  -10.0000019       2.58397660E-04   1.01835215    
  -9.96000195       2.67712923E-04   1.01616299    
  -9.92000198       2.78718479E-04   1.01979017    
  -9.88000202       2.89709569E-04   1.01911330    
  -9.84000206       2.95132253E-04   1.02093410    
  -9.80000210       3.09684983E-04   1.01713002    
  -9.76000214       3.18286271E-04   1.01716757    
  -9.72000217       3.34813783E-04   1.01558399    
  -9.68000221       3.46326648E-04   1.01766992    
  -9.64000225       3.57161683E-04   1.01621509    
  -9.60000229       3.73930467E-04   1.01308668    
  -9.56000233       3.85999476E-04   1.01135111    
  -9.52000237       4.01387166E-04   1.00997794    
  -9.48000240       4.13007569E-04   1.01407170    
  -9.44000244       4.32860950E-04   1.01170480    
  -9.40000248       4.45356418E-04   1.01156533    
  -9.36000252       4.62066615E-04   1.00968695    
  -9.32000256       4.78467060E-04   1.00877953    
  -9.28000259       5.07304037E-04   1.00992107    
  -9.24000263       5.18642424E-04   1.01001227    
  -9.20000267       5.28771605E-04   1.01058543    
  -9.16000271       5.58449014E-04   1.00565600    
  -9.12000275       5.68961783E-04   1.00783288    
  -9.08000278       5.82219800E-04   1.00824583    
  -9.04000282       5.85142756E-04   1.00678706    
  -9.00000286       5.98562299E-04   1.00951457    
  -8.96000290       6.00196247E-04   1.00529766    
  -8.92000294       6.24830602E-04   1.00759971    
  -8.88000298       6.27975038E-04   1.00715125    
  -8.84000301       6.36317360E-04   1.01045883    
  -8.80000305       6.50503614E-04   1.01124680    
  -8.76000309       6.61156257E-04   1.01219034    
  -8.72000313       6.72588940E-04   1.01456356    
  -8.68000317       6.82896294E-04   1.01269281    
  -8.64000320       6.98617543E-04   1.01618636    
  -8.60000324       7.04568753E-04   1.01460481    
  -8.56000328       7.20638316E-04   1.01527190    
  -8.52000332       7.42240867E-04   1.01429260    
  -8.48000336       7.47086597E-04   1.01305461    
  -8.44000340       7.63922813E-04   1.01202929    
  -8.40000343       7.71938532E-04   1.01154256    
  -8.36000347       7.85401440E-04   1.01326811    
  -8.32000351       8.00218841E-04   1.01089418    
  -8.28000355       8.24581773E-04   1.01070333    
  -8.24000359       8.37781176E-04   1.01028955    
  -8.20000362       8.51193094E-04   1.00917315    
  -8.16000366       8.66685528E-04   1.00937736    
  -8.12000370       8.83162196E-04   1.00871646    
  -8.08000374       9.09906172E-04   1.00816095    
  -8.04000378       9.22735489E-04   1.00749302    
  -8.00000381       9.44841246E-04   1.00692427    
  -7.96000385       9.55652678E-04   1.00644064    
  -7.92000389       9.71409550E-04   1.00612354    
  -7.88000393       1.00154965E-03   1.00590944    
  -7.84000397       1.02291757E-03   1.00534463    
  -7.80000401       1.04072248E-03   1.00494421    
  -7.76000404       1.07155996E-03   1.00421250    
  -7.72000408       1.08442293E-03   1.00302601    
  -7.68000412       1.09545060E-03   1.00336325    
  -7.64000416       1.14807626E-03   1.00261533    
  -7.60000420       1.16028229E-03   1.00203991    
  -7.56000423       1.19045470E-03   1.00180447    
  -7.52000427       1.21292018E-03   1.00136471    
  -7.48000431       1.24774140E-03   1.00043380    
  -7.44000435       1.27696898E-03   1.00008392    
  -7.40000439       1.31233328E-03  0.999646008    
  -7.36000443       1.34824764E-03  0.998820007    
  -7.32000446       1.35604234E-03  0.998498917    
  -7.28000450       1.41217443E-03  0.997258902    
  -7.24000454       1.41962827E-03  0.996192575    
  -7.20000458       1.47226139E-03  0.995165884    
  -7.16000462       1.51852192E-03  0.994193256    
  -7.12000465       1.56776176E-03  0.992543042    
  -7.08000469       1.60041754E-03  0.990706503    
  -7.04000473       1.63834216E-03  0.988948464    
  -7.00000477       1.71095529E-03  0.985458016    
  -6.96000481       1.73356675E-03  0.981928051    
  -6.92000484       1.81021646E-03  0.977938652    
  -6.88000488       1.88314519E-03  0.969460964    
  -6.84000492       1.97538012E-03  0.955651164    
  -6.80000496       2.02432158E-03  0.954495668    
  -6.76000500       2.06286111E-03  0.954458714    
  -6.72000504       2.10751733E-03  0.953618288    
  -6.68000507       2.09857081E-03  0.955822825    
  -6.64000511       2.17426172E-03  0.956194162    
  -6.60000515       2.20658164E-03  0.956170619    
  -6.56000519       2.24700407E-03  0.956432581    
  -6.52000523       2.30386131E-03  0.958206654    
  -6.48000526       2.35699723E-03  0.957957923    
  -6.44000530       2.43106671E-03  0.960305035    
  -6.40000534       2.44227448E-03  0.959921598    
  -6.36000538       2.50038132E-03  0.959467053    
  -6.32000542       2.54802452E-03  0.960476518    
  -6.28000546       2.65073241E-03  0.960610092    
  -6.24000549       2.71401438E-03  0.961153448    
  -6.20000553       2.72751623E-03  0.961778700    
  -6.16000557       2.81866873E-03  0.961751759    
  -6.12000561       2.88842153E-03  0.963891387    
  -6.08000565       3.01693403E-03  0.962903917    
  -6.04000568       3.10094003E-03  0.961980402    
  -6.00000572       3.47112585E-03  0.929786980    
  -5.96000576       3.90625093E-03  0.905284941    
  -5.92000580       4.18244954E-03  0.889769495    
  -5.88000584       4.49187635E-03  0.880349576    
  -5.84000587       4.87113651E-03  0.876232505    
  -5.80000591       5.20158466E-03  0.869666517    
  -5.76000595       5.63657517E-03  0.861321211    
  -5.72000599       6.10381970E-03  0.850485086    
  -5.68000603       6.88938191E-03  0.827523530    
  -5.64000607       7.32398639E-03  0.813822687    
  -5.60000610       7.55179953E-03  0.811710179    
  -5.56000614       7.83892535E-03  0.808485627    
  -5.52000618       8.32142588E-03  0.805343986    
  -5.48000622       8.78349226E-03  0.800993621    
  -5.44000626       9.10734199E-03  0.796019077    
  -5.40000629       9.18984786E-03  0.795910299    
  -5.36000633       9.31636523E-03  0.795098782    
  -5.32000637       9.34231747E-03  0.792858064    
  -5.28000641       9.39000677E-03  0.792072713    
  -5.24000645       9.42804012E-03  0.792162001    
  -5.20000648       9.52736102E-03  0.788786054    
  -5.16000652       9.68170725E-03  0.787990451    
  -5.12000656       9.62005556E-03  0.786538482    
  -5.08000660       9.69710946E-03  0.785354733    
  -5.04000664       9.96113662E-03  0.782322884    
  -5.00000668       9.85310506E-03  0.779692233    
  -4.96000671       9.93226282E-03  0.779175639    
  -4.92000675       9.99311171E-03  0.778514028    
  -4.88000679       1.01859141E-02  0.775682807    
  -4.84000683       1.00905504E-02  0.777530909    
  -4.80000687       9.94700845E-03  0.782555819    
  -4.76000690       9.89742205E-03  0.784223616    
  -4.72000694       9.70988162E-03  0.785036206    
  -4.68000698       9.73330811E-03  0.784589171    
  -4.64000702       9.64956172E-03  0.783565044    
  -4.60000706       9.70907975E-03  0.783177078    
  -4.56000710       9.56639554E-03  0.781244338    
  -4.52000713       9.57863498E-03  0.779367447    
  -4.48000717       9.53273848E-03  0.777859688    
  -4.44000721       9.57967434E-03  0.774389088    
  -4.40000725       9.55742784E-03  0.772393048    
  -4.36000729       9.58327856E-03  0.770223498    
  -4.32000732       9.60578118E-03  0.766845763    
  -4.28000736       9.46907047E-03  0.762247503    
  -4.24000740       9.50857531E-03  0.759457111    
  -4.20000744       9.46240779E-03  0.757199883    
  -4.16000748       9.49521456E-03  0.752097547    
  -4.12000751       9.42607597E-03  0.750147045    
  -4.08000755       9.39342193E-03  0.744474232    
  -4.04000759       9.34281666E-03  0.740841448    
  -4.00000763       9.33966693E-03  0.736735106    
  -3.96000767       9.30773001E-03  0.733402073    
  -3.92000771       9.27429926E-03  0.728102863    
  -3.88000774       9.53465328E-03  0.728703499    
  -3.84000778       1.16981696E-02  0.771310210    
  -3.80000782       1.39600411E-02  0.799434185    
  -3.76000786       1.57639030E-02  0.813524842    
  -3.72000790       1.68716293E-02  0.822691321    
  -3.68000793       1.82535201E-02  0.820754886    
  -3.64000797       2.14504208E-02  0.790502310    
  -3.60000801       2.31846031E-02  0.780185640    
  -3.56000805       2.48504952E-02  0.767535090    
  -3.52000809       2.62526628E-02  0.762366235    
  -3.48000813       2.75215488E-02  0.757172406    
  -3.44000816       2.83877570E-02  0.751946211    
  -3.40000820       2.97941249E-02  0.744604349    
  -3.36000824       3.13163735E-02  0.734537721    
  -3.32000828       3.30520011E-02  0.726344645    
  -3.28000832       3.41305621E-02  0.719743550    
  -3.24000835       3.58337350E-02  0.711141407    
  -3.20000839       3.72603126E-02  0.706167102    
  -3.16000843       3.83663923E-02  0.702139437    
  -3.12000847       3.94313522E-02  0.695515513    
  -3.08000851       4.10185382E-02  0.692288995    
